product_id,sku,original_filename,export_filename,size_bytes,width,height,status,format
P-0170,P-0170,P-0170.jpg,P-0170_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0003,P-0003,P-0003.jpg,P-0003_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0004,P-0004,P-0004.jpg,P-0004_1.jpg,3994,,,READY_FOR_UPLOAD,
P-0005,P-0005,P-0005.jpg,P-0005_1.jpg,4821,,,READY_FOR_UPLOAD,
P-0006,P-0006,P-0006.jpg,P-0006_1.jpg,3062,,,READY_FOR_UPLOAD,
P-0007,P-0007,P-0007.jpg,P-0007_1.jpg,3471,,,READY_FOR_UPLOAD,
P-0008,P-0008,P-0008.jpg,P-0008_1.jpg,2374,,,READY_FOR_UPLOAD,
P-0009,P-0009,P-0009.jpg,P-0009_1.jpg,2330,,,READY_FOR_UPLOAD,
P-0010,P-0010,P-0010.jpg,P-0010_1.jpg,2722,,,READY_FOR_UPLOAD,
P-0011,P-0011,P-0011.jpg,P-0011_1.jpg,2337,,,READY_FOR_UPLOAD,
P-0012,P-0012,P-0012.jpg,P-0012_1.jpg,2337,,,READY_FOR_UPLOAD,
P-0013,P-0013,P-0013.jpg,P-0013_1.jpg,2373,,,READY_FOR_UPLOAD,
P-0014,P-0014,P-0014.jpg,P-0014_1.jpg,2337,,,READY_FOR_UPLOAD,
P-0015,P-0015,P-0015.jpg,P-0015_1.jpg,2337,,,READY_FOR_UPLOAD,
P-0016,P-0016,P-0016.jpg,P-0016_1.jpg,2548,,,READY_FOR_UPLOAD,
P-0017,P-0017,P-0017.jpg,P-0017_1.jpg,2432,,,READY_FOR_UPLOAD,
P-0018,P-0018,P-0018.jpg,P-0018_1.jpg,8383,,,READY_FOR_UPLOAD,
P-0019,P-0019,P-0019.jpg,P-0019_1.jpg,3802,,,READY_FOR_UPLOAD,
P-0020,P-0020,P-0020.jpg,P-0020_1.jpg,1779,,,READY_FOR_UPLOAD,
P-0021,P-0021,P-0021.jpg,P-0021_1.jpg,2551,,,READY_FOR_UPLOAD,
P-0022,P-0022,P-0022.jpg,P-0022_1.jpg,3306,,,READY_FOR_UPLOAD,
P-0023,P-0023,P-0023.jpg,P-0023_1.jpg,4577,,,READY_FOR_UPLOAD,
P-0024,P-0024,P-0024.jpg,P-0024_1.jpg,1763,,,READY_FOR_UPLOAD,
P-0025,P-0025,P-0025.jpg,P-0025_1.jpg,2538,,,READY_FOR_UPLOAD,
P-0026,P-0026,P-0026.jpg,P-0026_1.jpg,3588,,,READY_FOR_UPLOAD,
P-0027,P-0027,P-0027.jpg,P-0027_1.jpg,3508,,,READY_FOR_UPLOAD,
P-0028,P-0028,P-0028.jpg,P-0028_1.jpg,3517,,,READY_FOR_UPLOAD,
P-0029,P-0029,P-0029.jpg,P-0029_1.jpg,5734,,,READY_FOR_UPLOAD,
P-0030,P-0030,P-0030.jpg,P-0030_1.jpg,2228,,,READY_FOR_UPLOAD,
P-0031,P-0031,P-0031.jpg,P-0031_1.jpg,2564,,,READY_FOR_UPLOAD,
P-0032,P-0032,P-0032.jpg,P-0032_1.jpg,3591,,,READY_FOR_UPLOAD,
P-0033,P-0033,P-0033.jpg,P-0033_1.jpg,4689,,,READY_FOR_UPLOAD,
P-0034,P-0034,P-0034.jpg,P-0034_1.jpg,4124,,,READY_FOR_UPLOAD,
P-0035,P-0035,P-0035.jpg,P-0035_1.jpg,1862,,,READY_FOR_UPLOAD,
P-0036,P-0036,P-0036.jpg,P-0036_1.jpg,2308,,,READY_FOR_UPLOAD,
P-0037,P-0037,P-0037.jpg,P-0037_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0038,P-0038,P-0038.jpg,P-0038_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0039,P-0039,P-0039.jpg,P-0039_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0040,P-0040,P-0040.jpg,P-0040_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0041,P-0041,P-0041.jpg,P-0041_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0042,P-0042,P-0042.jpg,P-0042_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0043,P-0043,P-0043.jpg,P-0043_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0044,P-0044,P-0044.jpg,P-0044_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0045,P-0045,P-0045.jpg,P-0045_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0046,P-0046,P-0046.jpg,P-0046_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0047,P-0047,P-0047.jpg,P-0047_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0048,P-0048,P-0048.jpg,P-0048_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0049,P-0049,P-0049.jpg,P-0049_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0050,P-0050,P-0050.jpg,P-0050_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0051,P-0051,P-0051.jpg,P-0051_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0052,P-0052,P-0052.jpg,P-0052_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0053,P-0053,P-0053.jpg,P-0053_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0054,P-0054,P-0054.jpg,P-0054_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0055,P-0055,P-0055.jpg,P-0055_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0056,P-0056,P-0056.jpg,P-0056_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0057,P-0057,P-0057.jpg,P-0057_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0058,P-0058,P-0058.jpg,P-0058_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0059,P-0059,P-0059.jpg,P-0059_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0060,P-0060,P-0060.jpg,P-0060_1.jpg,6609,,,READY_FOR_UPLOAD,
