PID,Product Code,Product Name,HSN Code,Part / Group,Barcode,Purchase Price,Retail Price,Discount,CGST,SGST,CESS,Qty. Available,Main Unit,Wholesale Price,MRP,Category,Sub Category / Brand,Last Sold Price,Good Product Qty,Damage Product Qty,Description,Minimum Stock,Sale Tax Type,Purchase Tax Type,Godown,Rack,Batch,Mfg Date,Exp Date,Size,Colour,Def Qty,IMEI-1,IMEI-2,Exact Purchase Price
1492,P-1492, BC -99 T SHIRT 1150,,,4051,150.00,315.00,20.00,0.00,0.00,0.00,5.000,NOS,160.00,450.00,Mens wear,Tshirt,315.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,150.00
1389,P-1389,3509,,,3845,335.00,588.00,20.00,0.00,0.00,0.00,4.000,NOS,399.00,1005.00,Mens wear,Formal touser,588.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,335.00
1391,P-1391,4541,,,3847,385.00,675.00,20.00,0.00,0.00,0.00,1.000,NOS,399.00,1155.00,Mens wear,Formal touser,675.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,385.00
3276,P-3276,A first 1279,,,5943,279.00,488.00,20.00,0.00,0.00,0.00,3.000,NOS,299.00,837.00,Kids wear(Boys),H/s jeans set,,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,279.00
3163,P-3163,A first 1351,,,5824,351.00,600.00,20.00,0.00,0.00,0.00,3.000,NOS,399.00,1053.00,Kids wear(Girls),H/s set,,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,351.00
3162,P-3162,A first 1374,,,5823,374.00,650.00,20.00,0.00,0.00,0.00,1.000,NOS,399.00,1122.00,Kids wear(Girls),H/s set,650.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,374.00
902,P-0902,A first 1419,,,3351,419.00,725.00,20.00,0.00,0.00,0.00,1.000,NOS,450.00,1260.00,Kids wear(Boys),H/s set,725.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,419.00
2128,P-2128,A first 1490,,,4713,490.00,838.00,20.00,0.00,0.00,0.00,3.000,NOS,499.00,1470.00,Kids wear(Boys),H/s jeans set,838.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,490.00
156,P-0156,A first 5002 1392,gbb,,1297,392.00,675.00,20.00,0.00,0.00,0.00,1.000,NOS,399.00,1175.00,Kids wear(Boys),H/s set,,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,392.00
199,P-0199,AARKY'S Collection 36190 1934,gbb,,1482,935.00,1280.00,0.00,0.00,0.00,0.00,1.000,NOS,799.00,1600.00,Kids wear(Boys),K/P with koti,,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,935.00
